geometry,check_date:crossing,crossing,crossing:island,highway,tactile_paving,bench,bin,bus,lit,name,public_transport,shelter,direction,crossing:markings,surface,lanes,maxspeed,oneway,postal_code,hgv,maxweight,smoothness,access,have_riverbank,bridge,layer,wikidata,vehicle,old_name,sidewalk,parking:left,handrail,incline,ramp,bridge:movable,priority,footway,living_street,covered,maxheight,note,tunnel,service,step_count,area,parking:right
"LINESTRING (29.7622778 59.9891084, 29.7623976 59.9890641, 29.7624931 59.9890445, 29.7625309 59.9890364, 29.7640447 59.9887141, 29.7655893 59.9883851)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7710669 59.985976, 29.7711314 59.9859593, 29.771188 59.9859447)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.780278 59.9867357, 29.7799564 59.9868241)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7805973 59.9866705, 29.780278 59.9867357)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,yes,1,Q109399097,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7696838 59.9878722, 29.7695093 59.9879034, 29.769369 59.9879318)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,
"LINESTRING (29.7735282 59.9881514, 29.773445 59.9881682, 29.7733746 59.9881824)",,,,footway,,,,,yes,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,
"LINESTRING (29.7658576 59.9884349, 29.7658234 59.9884407, 29.7658741 59.9885031, 29.7657929 59.9885198, 29.7646374 59.988759, 29.7634568 59.9890015, 29.7630592 59.9890831, 29.7626332 59.9891706)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7621962 59.9890246, 29.7624324 59.9889746, 29.7639159 59.9886596, 29.7639549 59.9886825, 29.7640052 59.9886714, 29.7640564 59.9886603, 29.7640559 59.9886297, 29.7651104 59.9884074, 29.765184 59.9883919, 29.7656161 59.9883007)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7735806 59.9879941, 29.7735135 59.9879109, 29.7732886 59.9876321, 29.7729838 59.9872517)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7736493 59.9880792, 29.7736142 59.9880357, 29.7735806 59.9879941)",,,,footway,,,,,yes,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,
"LINESTRING (29.7726375 59.9871282, 29.7721651 59.9872227)",,,,tertiary,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,,,good,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7769592 59.9866969, 29.7769668 59.9866715, 29.7769806 59.9866256)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7768453 59.9866976, 29.7769668 59.9866715)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7729838 59.9872517, 29.772851 59.9870854, 29.772791 59.9870102)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,
"LINESTRING (29.7654027 59.9866775, 29.7652835 59.986597, 29.7652057 59.986499, 29.7643393 59.9854485, 29.7644091 59.9853224, 29.7625208 59.9830361)",,,,service,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7667526 59.9881584, 29.7667759 59.988124)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,no,down,no,,,,,,,,,,,,
"LINESTRING (29.7709664 59.9882305, 29.7710583 59.9883452)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,below_default,,building_passage,,,,
"LINESTRING (29.7710583 59.9883452, 29.7710936 59.9883892, 29.7711979 59.9885193)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
"LINESTRING (29.7708557 59.9858152, 29.7706922 59.9858493)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.770846 59.9856008, 29.7711314 59.9859593, 29.7715077 59.9864574, 29.7720371 59.9871582)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.770846 59.9856008, 29.7709145 59.9855849)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7667526 59.9881584, 29.7661093 59.9873687, 29.765822 59.987033, 29.7655855 59.9867569, 29.7654027 59.9866775)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7756821 59.9866316, 29.7755006 59.9866467, 29.7751058 59.9866343)",,,,service,,,,,,,,,,,asphalt,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7665391 59.9879969, 29.7657313 59.9870516, 29.7656799 59.986997, 29.7654695 59.9867545)",,,,service,,,,,,,,,,,unhewn_cobblestone,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7709145 59.9855849, 29.7708215 59.9854672, 29.7710815 59.9854158)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7687851 59.988072, 29.7687742 59.9880551, 29.7686642 59.9879232)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
"LINESTRING (29.7688701 59.9881684, 29.7687851 59.988072)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,below_default,,building_passage,,,,
"LINESTRING (29.7690059 59.9892578, 29.7689717 59.9893251, 29.7686112 59.9894004, 29.7681233 59.989505, 29.7683699 59.9898079)",,,,service,,,,,,,,,,,cobblestone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7674362 59.9881627, 29.766736 59.9882265, 29.7665598 59.9882609)",,,,tertiary,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,no,8,excellent,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7748903 59.9900747, 29.7749084 59.9900974)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7751466 59.9900619, 29.7751423 59.9900567, 29.7751062 59.9899402)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7725054 59.9883826, 29.7727502 59.9884772)",,,,path,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7727502 59.9884772, 29.7728225 59.9885063)",,,,path,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7798054 59.9867637, 29.779697 59.9866354, 29.7796751 59.9866095)",,,,service,,,,,,,,,,,asphalt,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7782152 59.9872245, 29.778182 59.9871867)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7759225 59.9866619, 29.7759791 59.9866881)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7766148 59.9869828, 29.7766352 59.9869922)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7758537 59.9867115, 29.7758328 59.9867782)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7758328 59.9867782, 29.7758293 59.9867893)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7767278 59.9867215, 29.7767132 59.9867242)",,,,steps,,,,,yes,,,,,,concrete,,,,,,,,,,,,,,,,,yes,up,no,,,,,,,,,,2,,
"LINESTRING (29.7748185 59.9868754, 29.7747085 59.9867351)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7747085 59.9867351, 29.7746941 59.9867167)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7746648 59.9871543, 29.7746839 59.9871504)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7745913 59.98738, 29.7745761 59.9873595)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7745761 59.9873595, 29.7745394 59.9873103)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7679947 59.9880571, 29.7681103 59.98819, 29.7681253 59.9882122)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7767639 59.9870729, 29.7763989 59.9871453)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7763989 59.9871453, 29.7763891 59.9871472)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7750906 59.9883489, 29.7757852 59.9884909)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7654695 59.9867545, 29.7654027 59.9866775)",,,,service,,,,,,,,,,,asphalt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7666259 59.9880985, 29.7665391 59.9879969)",,,,service,,,,,,,,,,,unhewn_cobblestone,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7681358 59.9862035, 29.7678038 59.9857987, 29.7677743 59.9857627)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7692527 59.9876261, 29.7692469 59.9876189)",,,,footway,,,,,,,,,,,compacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7694298 59.9874517, 29.7694129 59.9874672)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7694129 59.9874672, 29.7692469 59.9876189)",,,,footway,,,,,,,,,,,compacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7692781 59.9876582, 29.769329 59.9877187)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7714582 59.9873641, 29.7713844 59.9873789)",,,,tertiary,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,no,8,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7713844 59.9873789, 29.7711098 59.9874339, 29.7696533 59.9877253, 29.7694052 59.9877749)",,,,tertiary,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,no,8,excellent,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7721651 59.9872227, 29.7714582 59.9873641)",,,,tertiary,,,,,yes,Макаровская улица,,,,,asphalt,2,RU:urban,,197762,no,8,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7802299 59.9866767, 29.7800519 59.9867131)",,,,tertiary,,,,,yes,Петровская улица,,,,,metal,2,RU:urban,,197762,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7807041 59.9865801, 29.7805491 59.9866115)",,,,tertiary,,,,,yes,Петровская улица,,,,,metal,2,RU:urban,,197762,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7805751 59.9905828, 29.7816542 59.9903403, 29.7822417 59.9902326, 29.7822703 59.9902667)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7682986 59.9865261, 29.7675134 59.9872604)",,,,footway,,,,,,,,,,,compacted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7711964 59.9881277, 29.7709191 59.9881834, 29.770582 59.988251)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
"LINESTRING (29.7696008 59.9876625, 29.7696214 59.9876836, 29.7696533 59.9877253, 29.7697108 59.9877954, 29.7697238 59.9878159)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,
"LINESTRING (29.7677743 59.9857627, 29.7677433 59.9857261)",,,,steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,down,,,,,,,,,,,,,
"LINESTRING (29.7679339 59.9857721, 29.7680359 59.9857511)",,,,steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,down,,,,,,,,,,,,,
"LINESTRING (29.7677 59.9858199, 29.7675924 59.985841)",,,,steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,down,,,,,,,,,,,10,,
"LINESTRING (29.7679339 59.9857721, 29.7678038 59.9857987, 29.7677 59.9858199)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7715077 59.9864574, 29.7714547 59.9864677, 29.7713999 59.9864787)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.766611 59.9881853, 29.7665063 59.9881682, 29.7664424 59.9881828, 29.7664281 59.9881666)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7664281 59.9881666, 29.7663672 59.9880905)",,,,steps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,down,,,,,,,,,,,,,
"LINESTRING (29.766611 59.9881853, 29.7666878 59.9881737, 29.7667526 59.9881584)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,
"LINESTRING (29.7678408 59.9882469, 29.7670175 59.9883187)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7681615 59.9890054, 29.7682575 59.9889851, 29.7683604 59.9889633, 29.768315 59.9889096, 29.76827 59.9888565, 29.7680711 59.9888986, 29.7681615 59.9890054)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7682575 59.9889851, 29.768496 59.9892652, 29.7686112 59.9894004)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.768315 59.9889096, 29.7686518 59.9888374)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7680433 59.9894397, 29.768065 59.9894348, 29.7681805 59.9894089, 29.7681227 59.9893433, 29.7680489 59.9893573, 29.7679838 59.9893697, 29.7680433 59.9894397)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7681233 59.989505, 29.768065 59.9894348)",,,,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7681227 59.9893433, 29.768496 59.9892652)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.76827 59.9888565, 29.7679692 59.9884986)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7657573 59.9883495, 29.7657895 59.9883875, 29.7658142 59.9883836)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7657573 59.9883495, 29.7657085 59.9883598, 29.7656762 59.9883667, 29.7655893 59.9883851)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,
"LINESTRING (29.7658804 59.9882763, 29.7658186 59.9882012)",,,,steps,no,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,yes,down,no,,,,,,,,,,,,
"LINESTRING (29.7658804 59.9882763, 29.7658847 59.9882828, 29.7658454 59.9882923, 29.7658081 59.9883039, 29.7657811 59.9883174, 29.7657631 59.9883335, 29.7657573 59.9883495)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7652844 59.9882049, 29.7654498 59.9881712)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7639501 59.9868957, 29.7640224 59.9869828, 29.764088 59.9870618, 29.7645048 59.9869771, 29.7654722 59.9881667)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7788 59.9870602, 29.778852 59.9871004, 29.7791522 59.987315)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7757933 59.9880206, 29.775522 59.9880735)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7767336 59.9863086, 29.7771338 59.9862324)",,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7767336 59.9863086, 29.7766804 59.9862497, 29.7766301 59.9861895)",,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.770994 59.9856894, 29.7714086 59.9856042, 29.7712277 59.9853878, 29.7710815 59.9854158)",,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.772959 59.9869194, 29.7729994 59.9869694, 29.7730672 59.9870422)",,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7791448 59.9853959, 29.779017 59.9854381, 29.7790271 59.9855644, 29.779017 59.9857682, 29.7789463 59.9858592, 29.7787981 59.9859316, 29.7785187 59.9859922, 29.7774547 59.9861876)",,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alley,,,
"LINESTRING (29.7804594 59.9851346, 29.7794791 59.9853271)",,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alley,,,
"LINESTRING (29.7794791 59.9853271, 29.7791448 59.9853959)",,,,service,,,,,,,,,,,,,,,,,,,,,yes,1,,,,,,,,,,,,,,,,,alley,,,
"LINESTRING (29.7832739 59.9861388, 29.7833298 59.9861278, 29.7833894 59.9861162, 29.7842695 59.9859438, 29.7843869 59.9859238, 29.7848686 59.986522, 29.7847778 59.9865404, 29.7838784 59.9867219)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7733711 59.9879396, 29.7735135 59.9879109, 29.7735701 59.9878863, 29.7748695 59.9876187, 29.7752133 59.9875473, 29.776498 59.9872826, 29.7768788 59.9872055, 29.7775333 59.9870752, 29.7775778 59.9870663, 29.7777258 59.987037, 29.7779536 59.9869916, 29.779697 59.9866354, 29.7799574 59.9865798, 29.7801562 59.986631, 29.7801873 59.9866245)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7801873 59.9866245, 29.7805058 59.9865585)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,yes,1,Q109399097,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.78275 59.9889475, 29.7835171 59.9899152)",,,,path,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7822417 59.9902326, 29.782232 59.99021, 29.7822627 59.9901919, 29.7835171 59.9899152)",,,,path,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7822417 59.9902326, 29.7822893 59.9902212, 29.7834985 59.989973)",,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7742583 59.9899198, 29.7740386 59.9899639)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7739363 59.9898335, 29.7741112 59.9897984, 29.7741713 59.9898112, 29.7742583 59.9899198, 29.7744572 59.9901677)",,,,service,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,
"LINESTRING (29.7765437 59.9891535, 29.7766929 59.9893402)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7754145 59.9891104, 29.7757603 59.989519)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7753494 59.9891072, 29.7750943 59.9891604, 29.7749776 59.9890203)",,,,footway,,,,,,,,,,,tartan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7749776 59.9890203, 29.774838 59.9890494)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7752327 59.9889671, 29.7751446 59.9888614)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7753614 59.9891216, 29.7753494 59.9891072, 29.7752327 59.9889671, 29.7749776 59.9890203)",,,,footway,,,,,,,,,,,tartan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.77548 59.9896165, 29.7754528 59.9895841, 29.7751069 59.9891754, 29.7750943 59.9891604)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7754528 59.9895841, 29.7757603 59.989519, 29.7758882 59.9895347)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7749631 59.9892054, 29.7751069 59.9891754, 29.7753614 59.9891216, 29.7754145 59.9891104, 29.7755343 59.9890851)",,,,footway,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7731483 59.9884429, 29.7732188 59.9884746, 29.7733676 59.9884954, 29.7735557 59.9884891)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7744434 59.9871799, 29.7743396 59.9870458)",,,,footway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7744558 59.9871967, 29.7745461 59.9871784)",,,,footway,,,,,,,,,,,tartan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7740558 59.9874927, 29.774052 59.9874879, 29.7739243 59.9873269, 29.7738691 59.9872574)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7739605 59.9873197, 29.7739243 59.9873269, 29.7737034 59.9873707)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7715776 59.9880101, 29.7712632 59.9876228, 29.7712493 59.9876057, 29.7711098 59.9874339)",,,,service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7733746 59.9881824, 29.7732362 59.9882103)",,,,footway,,,,,yes,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7731339 59.9880834, 29.7731688 59.9881267, 29.7732037 59.98817)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,crossing,,,,,,,,,
"LINESTRING (29.76972 59.9879169, 29.7712493 59.9876057, 29.7725411 59.9873428, 29.7730674 59.9880009, 29.7731339 59.9880834)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,sidewalk,,,,,,,,,
"LINESTRING (29.7701739 59.9887235, 29.7695093 59.9879034, 29.76945 59.9878302, 29.7694052 59.9877749)",,,,residential,,,,,yes,Коммунистическая улица,,,,,asphalt,2,RU:urban,,197760,,,,,,,,Q16665140,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7824225 59.9862354, 29.7808972 59.9865409, 29.7807041 59.9865801)",,,,tertiary,,,,,yes,Петровская улица,,,,,asphalt,2,RU:urban,,197762,,,excellent,,,,,Q4361182,,,,,,,,,,,,,,,,,,,no
"LINESTRING (29.7667759 59.988124, 29.7668162 59.9880964)",,,,steps,no,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,no,down,no,,,,,,,,,,5,,
"LINESTRING (29.7654498 59.9881712, 29.7654722 59.9881667)",,,,steps,,,,,,,,,,,paving_stones,,,,,,,,,,,,,,,,,no,up,,,,,,,,,,,2,,
"LINESTRING (29.7654722 59.9881667, 29.7655042 59.9881601)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7776176 59.9871144, 29.7775778 59.9870663)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7775333 59.9870752, 29.7775734 59.9871236)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (29.7775734 59.9871236, 29.7776176 59.9871144, 29.7777648 59.9870839, 29.7777258 59.987037)",,,,footway,,,,,,,,,,,asphalt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
